datetime,name,start,energy_10_20KHz,dB,ndsi_N,aci_N,BI_N,EAS_N,ECV_N,EPS_N,ndsi_W,aci_W,BI_W,EAS_W,ECV_W,EPS_W,ACT,POWERB_126,POWERB_251,POWERB_501,POWERB_1k,POWERB_2k,POWERB_4k,POWERB_8k,POWERB_16k
20220410_204822,20220410_204502T.WAV,200.0,23.69770479960844,-60.35026659822997,0.9999601846897489,2076.613163755205,5.911724939585151,0.15261964646654635,0.17609255994500728,0.2665581223850071,0.999998713457567,3760.0491470663424,11.208473438047484,0.1391022778542299,0.1523511035771683,0.25454017328035883,6.25e-05,-15.951248242559135,-19.250867031551813,-21.639102385358715,-24.13396210354634,-28.22965124795383,-20.00068262877243,16.49696517794854,32.97279938348654
20220410_204832,20220410_204502T.WAV,210.0,222.19662690844322,-49.572170705575935,0.9999734354549858,2218.1718403111804,4.028163026656661,0.1556928487933299,0.17104678103618565,0.2733604248675492,0.9999994524448935,4040.921829331419,9.909868901573397,0.14541288230323213,0.15684793088918336,0.27407098898502835,0.00428125,-24.148763725970905,-37.598739021741956,-41.007402961178315,-40.421601012081254,-33.107460873898596,-11.048538845123607,28.538373151907535,43.674263663017484
20220410_204842,20220410_204502T.WAV,220.0,50.64151809895308,-60.261903017359685,0.9999561713553702,2087.882728583372,5.075732735596996,0.15421152569960617,0.19356290873424298,0.2666333929264598,0.9999985935462364,3781.9646065804664,8.381465650893231,0.13845104209803005,0.15432062822651105,0.2588772161461168,0.00025,-24.37442987553723,-27.236752713969842,-27.566787835066393,-34.893735299272024,-35.17842068878592,-19.440609859185468,16.715424893255847,33.06648487071014
20220410_204852,20220410_204502T.WAV,230.0,284.8331035743414,-54.168025805598376,0.9995395115814251,2117.300939799294,8.547603848555061,0.15477886699627175,0.17669527145916653,0.2615359607457629,0.9999877747784456,3860.4355603297995,10.354663028037187,0.1299064852776014,0.14628272733481373,0.2531315873829446,0.00296875,-17.40436214294671,-21.84093141254133,-24.64680525701505,-24.658285399580713,-25.638691475528038,-0.8885234295589649,26.71038901278937,38.6066713607766
20220410_204902,20220410_204502T.WAV,240.0,109.64485368156477,-52.97563222531,0.9999490257975587,2160.9800475356187,1.1389669857103788,0.15278541140452118,0.1668111623534272,0.27534219070090804,0.9999987335645494,3927.1087948716913,6.246602668255591,0.1605967748742091,0.25430512710293396,0.27464867166753215,0.004489583333333333,-11.787153923119739,-15.229253626961283,-17.808027730566355,-17.73884293572205,-22.352039527774686,-11.183267724141723,24.65187456100807,40.46373146984334
20220410_204912,20220410_204502T.WAV,250.0,87.82680481733323,-51.783296534971626,0.9999537993889858,2244.9529167532946,3.4430892192306386,0.15508122977019945,0.20583320387432613,0.27310729250993293,0.9999985952565441,4091.4258756206455,7.861687180347377,0.1489160494709364,0.19535248250457737,0.29024545284213976,0.00721875,-23.23335056727001,-27.605840406695847,-31.590548848381623,-36.029391076203,-33.56222817811071,-10.37398627594829,26.27850285224538,41.574484012964525
20220410_204922,20220410_204502T.WAV,260.0,197.25264128321732,-55.01164576814315,0.9999478773648819,2121.590773987173,2.959272341075955,0.18512805209866723,0.2687175932632532,0.26566830508962413,0.9999993705529623,3862.4678463147184,8.234391811079776,0.18359100847570786,0.2672030698961543,0.2608670611324564,0.00178125,-25.153198566554206,-30.915073007983164,-34.777674505207536,-38.74650071722642,-32.43405596037479,-13.42704054153661,21.01089995190374,38.54629401592658
20220410_204932,20220410_204502T.WAV,270.0,59.29709926972936,-58.5596186129544,0.9999540527724281,2085.0683034140106,2.9619643609019395,0.14774113059879157,0.15644352949096452,0.2617764943917722,0.9999986013678825,3801.2993713851724,7.920965759402242,0.13784342534349148,0.1524600419206117,0.2587756201547886,0.0005833333333333334,-13.39853282872944,-16.732799832131256,-19.18933277198047,-21.14206646720153,-24.86468464709494,-17.20302856503849,18.984702823915132,34.745595793354255
20220410_204942,20220410_204502T.WAV,280.0,97.49440941682168,-58.45308182559116,0.999960451022574,2079.991552662529,4.359930902342959,0.15927436626011737,0.22229747989805881,0.2595268788923807,0.9999988598596434,3800.490597462598,10.395442751381376,0.14549004512948083,0.18447081217850958,0.25555943479931365,0.0013125,-22.036671960444746,-25.721219902700202,-29.180205722645592,-32.173537946660005,-35.35707012595769,-18.23695953267274,18.537924393439667,34.936528065876885
20220410_205002,20220410_205002T.WAV,0.0,79.97801801217427,-59.2488596230755,0.9999666578384832,2024.2719678095448,4.1966755186764395,0.15417568676969007,0.2099888757395374,0.259186367994661,0.9999987844854712,3665.856627322902,9.115821809896877,0.14211862885200377,0.20305393812064643,0.24798077255624928,0.0015208333333333332,-29.564950506260974,-34.570042149984644,-36.71658071900863,-43.08064868075342,-41.36487263815063,-20.114296319962474,17.45160472841611,34.04655558671227
20220410_205012,20220410_205002T.WAV,10.0,35.10088197727964,-60.19876283636448,0.9999534648518185,2005.3297324625005,4.003232585447531,0.1446932257629835,0.18294233810609029,0.25207782915730415,0.9999984128058115,3651.221684985543,9.141588736440386,0.13376200558298867,0.1777058411594883,0.24669174052743004,0.00019791666666666666,-12.354887831847602,-16.07421542145399,-18.773198141205484,-20.65630803832292,-24.215336112780477,-18.349342018235237,17.93264296061823,33.07976735990914
20220410_205022,20220410_205002T.WAV,20.0,20.656956122846175,-58.87646656733167,0.9999486784395232,2013.5666067360162,7.534705654355329,0.140598930267392,0.14167190195696666,0.24581713244590997,0.9999985324219971,3661.783606612236,16.818353963525364,0.13130587226472568,0.1330292467672478,0.24430322252185732,6.25e-05,-23.251346302650894,-27.1491838566076,-29.62171327956288,-28.016642322571805,-32.754967498009975,-16.574724775611383,19.407326016263035,34.392308782272586
20220410_205032,20220410_205002T.WAV,30.0,70.10013247156078,-58.71720830618791,0.9999624415157339,2014.9302799608595,5.213864713921562,0.1487015563864238,0.19936192656962093,0.24608466801999573,0.9999987931416301,3667.692913693627,9.394736079646831,0.13396364278912032,0.16305256537445867,0.2491117343541156,0.0014375,-11.476827219431158,-14.996042546366793,-17.54183136763289,-19.92946602096547,-23.21631182096639,-17.469008640275398,19.108036124023734,34.54905279743624
20220410_205042,20220410_205002T.WAV,40.0,17.401740345918217,-59.34152934283191,0.9999522973415993,1991.113675828143,9.00019515854134,0.13705429833065952,0.15206016969702574,0.2364099844780927,0.9999983285273442,3622.38104223943,14.803106208123529,0.12885775234119312,0.13590636358297803,0.24333069779521022,0.0,-27.078564716252792,-30.89981463761969,-34.26556152995538,-37.19499603317935,-39.080392873654525,-17.575913500710868,19.55859255436569,33.88814929829109
20220410_205052,20220410_205002T.WAV,50.0,34.957563660315536,-56.630450345723276,0.9999548331011665,2061.5079034834985,3.669359109596167,0.15613753522341656,0.18585311118729864,0.26256263426271487,0.9999984926379486,3743.923918563986,8.571593141748439,0.14322143328738146,0.1599628093932529,0.25489062984804445,0.0027083333333333334,-25.538478233187043,-34.56673681394663,-33.66788795921024,-30.21120478795808,-33.98214558602467,-16.19438392232344,20.51213259693869,36.683377932356464
20220410_205102,20220410_205002T.WAV,60.0,42.262813495089844,-60.76050761502941,0.9999524434652673,1999.1387356969935,7.375797426583483,0.14082182804845766,0.17714651033688777,0.2524840128562882,0.9999984018227821,3641.4525747261528,11.253168597931733,0.1309350412580309,0.13913944083981156,0.24619167591232893,0.0001875,-18.188044426235844,-21.489762923059974,-23.8513242503705,-25.891562892220566,-30.01855194635898,-19.193814193882645,17.003035531129008,32.49566795984551
20220410_205112,20220410_205002T.WAV,70.0,40.192977756895836,-60.098996533694795,0.999953666266547,2008.8949932482217,0.9352014118698939,0.14506243375383,0.16639314298645047,0.2544312273655338,0.9999986706262385,3654.5868075171397,4.952768052143929,0.14078355440788948,0.20262464762756094,0.24275198067951775,0.0003958333333333333,-28.408081399420965,-33.45813157971402,-35.50118094693178,-32.104683076493494,-36.62968887074364,-19.178478767967558,17.3186047001629,33.197443491069464
20220410_205122,20220410_205002T.WAV,80.0,17.606050995243915,-51.63073070062012,0.9999567703639388,1980.5918894777374,13.963574495094491,0.1579695009096257,0.1581258700905206,0.25592801455489167,0.9999983720392428,3593.680354350212,22.358486779848374,0.14383506177715,0.14693318895090934,0.2553990201934595,0.0016041666666666667,-23.17942307473997,-27.980439985600597,-28.45827326647267,-32.61764706646882,-26.799463281616088,-9.672655133054587,26.619741890004672,41.76320829751085
20220410_205132,20220410_205002T.WAV,90.0,26.30667128014859,-60.53795831687947,0.9999540733967239,1985.3548336777492,1.928440463740257,0.14028796298645785,0.1446204285820124,0.2496682239656176,0.9999982828383478,3610.6542485560053,5.246915112246761,0.13065333563982107,0.14538348775799792,0.243541337213527,3.125e-05,-20.192065577473308,-23.978111456723767,-27.15679393418503,-28.632199435387697,-31.676588648430695,-19.344204572054984,17.65970983236091,32.71999448531635
20220410_205142,20220410_205002T.WAV,100.0,24.679345257281113,-60.48745139845415,0.9999571334010546,1974.460228438439,4.726758642149544,0.13774558932488357,0.14143143830517924,0.24677024143891468,0.999998390196704,3602.2903769524537,8.558800456535051,0.12641400862044483,0.13014762546775238,0.23665630776883095,2.0833333333333333e-05,-20.804253462540217,-33.24687027111896,-38.97034394051641,-37.557650192392515,-41.59067164922093,-18.868915126277372,18.36509876169079,32.72900935112541
20220410_205152,20220410_205002T.WAV,110.0,10.198084178921441,-58.81566144672972,0.9999535297287697,1978.3955028987168,15.3542050421773,0.13407900215661728,0.14927190302234783,0.2375153860479552,0.9999983219796047,3592.4220744996232,26.214903073798787,0.12518682486638322,0.1355470183589238,0.2497112353220059,0.0,-12.561931426590707,-16.157252954383047,-19.070983669387974,-19.067684595300097,-22.986556978012104,-15.86266362631915,20.671252760863936,34.36525335102641
20220410_205202,20220410_205002T.WAV,120.0,91.06826674211389,-59.91544930690896,0.999953851871073,2003.0575686248062,2.495926437801337,0.1496251765783675,0.3140118393585558,0.2417256278869523,0.9999987274941434,3644.287173964373,6.431211452405171,0.14420707796664067,0.2873347567607173,0.24435507433131598,0.0006875,-16.447841145329434,-20.66065394768215,-23.593592918114787,-23.35811062546689,-27.290954304626204,-17.88553214252472,18.318584930221128,33.384521798206
20220410_205212,20220410_205002T.WAV,130.0,16.995566198532483,-57.14291239942174,0.9999503249542856,1978.6763736270557,7.9423075110654375,0.13295947941638409,0.12927199799328004,0.23197999030610872,0.9999984819026299,3601.138900356948,15.454627466277348,0.12551864622438003,0.11931049809934047,0.23983907147761918,4.1666666666666665e-05,-18.283736944097225,-23.99759459277133,-26.927712301893145,-26.259847548574264,-30.129784157385924,-14.193151251796392,22.52997855349836,36.03683828673703
20220410_205222,20220410_205002T.WAV,140.0,85.14708596529681,-53.970920286771914,0.9999520218563015,2004.923726896888,5.4458766218724755,0.13582949899010854,0.17360789547737243,0.24132891111617016,0.9999986227990302,3643.855128929729,11.787597959597996,0.1334396543031684,0.1673838576598421,0.25983292142918324,0.0024895833333333332,-23.181963639123527,-26.32031640801276,-26.74726647963412,-35.21853852711154,-32.82635374746144,-11.47074993290163,25.665209378887468,39.28826483670912
20220410_205232,20220410_205002T.WAV,150.0,25.52997119249302,-58.26515953972194,0.9999526554198833,1987.3920029948576,6.3956657067067075,0.1352193959712199,0.14123384039053677,0.23858149791795247,0.9999984948410469,3615.3937330885183,10.549509052946714,0.1292082208277755,0.1328487856354288,0.25521868055032126,0.00011458333333333333,-15.344279499626696,-18.742710958606807,-21.4340822027875,-23.07973498069614,-26.48707779417526,-15.912667099595698,20.70291640731962,34.98753109252474
20220410_205242,20220410_205002T.WAV,160.0,39.625337359306435,-61.33146579132096,0.999956401602103,1998.008157671962,7.365291671813604,0.144806258199638,0.20600069357296613,0.25356233610354295,0.9999985986661566,3635.361304905426,9.925141704323831,0.13181549139067916,0.1486746498718231,0.2487861933820995,0.00015625,-48.02655735547462,-45.283167013131205,-41.490437464807684,-35.81933412931181,-39.21597754582751,-20.337932510106818,16.566875949223082,31.94360725170992
20220410_205252,20220410_205002T.WAV,170.0,28.701737283453966,-61.082938900208994,0.9999552583089142,2027.9414571938737,11.934580221659278,0.14016161698122098,0.14858363570620425,0.25580879680422486,0.9999985785027882,3685.087782541218,23.731854695158,0.13212503544708343,0.1484005794583202,0.2494921442311856,3.125e-05,-17.746663689979776,-21.699290777755902,-23.908045359031075,-28.194121021509044,-31.138684023647745,-19.91614150462859,16.79544911958636,32.17275647883085
20220410_205302,20220410_205002T.WAV,180.0,25.404117013788298,-61.95465729272995,0.9999577290493568,1989.602185029729,4.417436795976648,0.145482327759471,0.14795792303627775,0.2709908089440962,0.9999985681014439,3636.9001881569675,11.56580327266689,0.13678160254865834,0.14246568527911874,0.2537664971556347,0.0,-16.364607128376964,-20.915434592256513,-23.988471171864354,-25.590550457205794,-29.36809985931251,-21.644229351815323,15.246901454381064,31.331264295145466
20220410_205312,20220410_205002T.WAV,190.0,11.97349024942167,-62.476719966759944,0.999960149903564,1985.6965235894318,8.732557311479308,0.1456811907592268,0.1691907937706092,0.25729424520622257,0.9999986016331688,3615.494693396671,21.960090927753594,0.1389455606476645,0.15869503674656316,0.25541500576686327,0.0,-16.314667689376794,-19.786382363414873,-22.44990640932837,-22.706286391324152,-26.91828357837707,-22.440291338253,14.564012007271803,30.819844773879822
20220410_205322,20220410_205002T.WAV,200.0,75.35918542292421,-61.15325754044442,0.999959577891327,2041.8097510683901,10.851514985329286,0.1488630723781934,0.16050897622603266,0.26777923388677227,0.9999984996552326,3720.013743768771,18.721967636862473,0.13480899120798673,0.13168983577916948,0.2504478197488089,0.0004166666666666667,-12.544636268932685,-17.78443169878121,-20.377421739574608,-20.903996068727665,-25.378506858477813,-20.50079385468187,15.856988755227931,32.07371525463054
20220410_205332,20220410_205002T.WAV,210.0,73.13879879256987,-59.78281817265063,0.9999517070906291,2075.9737081908825,8.029515724364488,0.14318416151832358,0.18906361986816467,0.2555096996469819,0.9999984439689195,3782.362246206975,11.474475896009979,0.13310180825196416,0.1500483439408501,0.2569819514039742,0.0006770833333333334,-47.626097253902756,-43.346343897143186,-39.824475688059636,-37.09395401656139,-40.294694582888525,-18.332313731747746,18.457369302999385,33.49147847645501
20220410_205342,20220410_205002T.WAV,220.0,157.93866135844394,-59.666321748297804,0.9999545103454062,2051.1407209223416,5.983466892458059,0.14008133656796085,0.22504268730699906,0.25323282998294183,0.9999982205009914,3733.037959313877,9.6130082210195,0.13285765459976928,0.1845264088269014,0.24411017031570836,0.0009583333333333333,-20.2007521890318,-24.057542954663447,-26.76879578743356,-27.61088372676548,-31.772878986126504,-19.285731158135967,18.793866128694884,33.44213298813013
20220410_205352,20220410_205002T.WAV,230.0,26.141057976544094,-61.0832180626748,0.9999561034864658,1998.7759864644938,1.5593193252901807,0.13946749864939367,0.13168996637516706,0.2535645434342386,0.9999986833673248,3638.931418225045,5.4245171749499015,0.13384184216574635,0.16548959028846932,0.24952969079254306,6.25e-05,-17.666908628500032,-20.88245587828821,-23.09347496764349,-25.988401703946955,-28.41946803826182,-19.97956466797924,16.75749375985941,32.17528204840824
20220410_205402,20220410_205002T.WAV,240.0,37.1041636711701,-60.349735810103084,0.9999583696216241,2075.3045298158345,4.338765600343402,0.1443548787313791,0.1436171855916346,0.27740610914729247,0.9999986648438982,3765.304289157247,9.990018393303044,0.1401137393235623,0.14781581774240227,0.25463695849605783,0.00013541666666666666,-16.57075509347906,-20.396426534442718,-23.416308356695893,-25.205028894382494,-28.89398045498336,-19.997012086093864,17.20616892506402,32.92465062474872
20220410_205412,20220410_205002T.WAV,250.0,17.583274297913395,-62.40389397111655,0.9999610789356391,1984.200249409316,17.49310619123508,0.14574086242803286,0.177199289337849,0.26514959949640293,0.9999986410236856,3618.39663640563,42.353913844201024,0.13759367328485894,0.15286323374473343,0.2590288200599612,0.0,-29.34771929994944,-32.842006675006196,-33.71093912714707,-27.72687396713078,-32.40348546116709,-22.926194352925798,14.767184735386333,30.881205987507894
20220410_205422,20220410_205002T.WAV,260.0,19.262798162366014,-56.98128728747069,0.9999827778392859,2026.128987336092,13.013874920139417,0.27913201939715626,0.32589544481993726,0.3592740022755059,0.9999982998357901,3657.405032029007,14.082287071948313,0.2100128406012275,0.27920121810382936,0.3238640849931791,8.333333333333333e-05,-15.869072196328835,-31.151834116302403,-40.43961084090046,-33.41217734279274,-39.775554838745514,-19.770555437307394,19.45084570645107,36.508599453347415
20220410_205432,20220410_205002T.WAV,270.0,22.08991404341604,-58.48742808904277,0.9999861315171655,2030.7501385325431,30.07440243834882,0.319494881822585,0.40243870238338664,0.30953668858776784,0.9999984160632448,3657.5138913113597,31.241308134199958,0.24133489349170523,0.3654634778238768,0.25633736751973213,8.333333333333333e-05,-31.51009974910832,-34.35208824499238,-31.564852311271252,-25.994113696136235,-33.039383004517155,-23.32240375580216,17.722479956720477,35.04206295578426
20220410_205442,20220410_205002T.WAV,280.0,22.034706842368802,-62.48991135867768,0.9999643520934726,1996.4465514496994,6.296753936989845,0.1539814479848195,0.16143915160856082,0.2858287620909199,0.9999986961536609,3628.451102737055,13.919673748583193,0.14121989275861957,0.15584601419059063,0.2534715456058271,0.0,-23.55904029817384,-28.86926143631406,-32.40889920530408,-34.82366596302575,-36.60082044007355,-24.163866110626078,14.121954550729585,30.76588981315419
20220410_205502,20220410_205502T.WAV,0.0,8.042451027886361,-59.98666807247362,0.9999722384060464,2063.2400872995195,27.64690498070269,0.20389351610156425,0.2853300667695916,0.43704228088706787,0.9999978650329344,3653.0205790004693,34.95325706914934,0.1444919015038899,0.20079275224460957,0.3617873181798068,0.0,-15.017385425372767,-19.79226710430488,-23.22813449829865,-27.755552484845897,-29.850629879538303,-23.36410142885444,23.483596617463313,32.8029680639279
